Спикер Т. Токс, Рон Гутман, тайная сила улыбки. В детстве 
мне всегда хотелось бы супергероем. Я хотел спасти мир и 
взял всех счастливыми. Но я знал, что мне потребуется невероятные 
способности для достижения этой мечты, поэтому я совершил воображаемые путешествия 
поисках межгалактических предметов с планеты Криптон. Это было очень весело, 
но не приносило результатов. Когда я вырос и осознал, что 
научная фантастика не лучшую источник сверхистесванных способностей, я решил отправиться 
в путешествие в настоящую науку, чтобы искать более полезную истинам. 
Я начал путешествие в Калифорнии с 30-летнего панельного исследования университета 
Беркли, в котором изучались фотографии студентов в старом выпускном альбоме 
и производилось отценкой их успешности и благополучия на протяжении жизни. 
Измеря улыбки этих студентов и следователи смогли предсказать, насколько прочным 
и долгим окажутся их брак. Сколько баллов они наберут в 
стандартных тестах благополучия и какого будет их влияние на окружающих. 
В другом выпускном альбоме я наткнулся на фотографию Бареабамы, когда 
я впервые увидел его фотографию, я подумал, что источник его 
невероятных способностей, его невероятный воротник. Но теперь я знаю, что 
все дело в его улыбке. Еще одно озарение имел место 
в исследовательском Проекте у него сезетов Венн в 2010 года. 
В нем исследовались бессбольные карточки, выпущенные до 50-х годов с 
фотографиями игроков основной лиги. И следователи обнаружили, что ширина улыбки 
игрока могла на самом деле предсказать продолжительность его жизни. Игроки 
не улыбавшиеся на фотографиях, прожили в среднем 72 и 90-х 
года. Тогда как широко улыбавшиеся игроки, жили в среднем почти 
80 лет. Хороший новостей в том, что на самом деле 
мы рождаемся с улыбкой, применять технологию трехмерного узи. Мы можем 
увидеть, что развивающийся плот улыбается даже в утробе. Появляет насвет, 
молоденцы продолжают улыбаться, понащало в основном восьне. И даже незрячие 
молоденцы улыбаются с вуком человеческого голоса. Улыбка одной из основных 
биологических, все общих выражений всего человечества. Выследованиях пройденных в ПППАНОВЫГВИНЕЙ, 
ПОЛ ЭКМОН, самый авторитетный в мире следователь мемики обнаружил, что 
даже членный племенифор, полностью изолированный отзападной культуры и известный с 
вымени обычными коньбальскими ритуалами, относили улыбки к описанию ситуации, так 
же как это сделал любым с вами, так что ППАНОВЫГВИНЕЙ, 
Дуголевуда и современного искусства в Пекине. Мы часто улыбаемся и 
улыбаемся мы где выражение радости и удовлетворением. Сколько присутствующих в 
этом зале улыбаются чаще двадцати раз в день. Поднимись руки. 
Ого! За пределами этого зала. Больше третий людей улыбаются чаще 
двадцати раз в день. Тогда как менее 14%. Улыбаются меньше 
пять раз. На самом деле, самыми поразительными суперспособностями обладают дети. 
Улыбающиеся дольше трёхсот раз в день. Вы не задумывались, почему 
общаясь детьми, которые так часто улыбаются, вы сами улыбаясь чаще. 
Недавнее исследования в университете уписывая в швеции показала, что очень 
трудно хмурится. Глядя на улыбающегося человека, вы скроете почему? Потому 
что улыбки эволюционно заразительно и они ослабляют обычный контроль над 
мимическими мышцами. Подражание улыбки и её физическое ощущение помогают нам 
разолещать подлинные и большевые улыбки и понимать эмоциональное состояние улыбающегося 
человека. В недавнем исследовании мимики в университете Клормон Фюран во 
Франции испытывая их просили разолечить подлинные и большевые улыбки, удерживая 
ворту карандаш для подавления мышц вызывающих улыбку. Без карандаша испытываемую 
превосходно размещали улыбки, но с карандашом ворту, когда они не 
могли подражать увидены улыбки, их суждение были ложными. Помимо рассуждения 
обывалюции в происхождении видов, чароздарвин также создал теорию обратно лицевой 
связи. Его теория утверждает, что сам по себе актулыбки действительно 
улучшает наши самочувствия, а не только является результатом хорошего настроения. 
В своём исследовании дарвинцетировал французского невролога Гимма Надюшена, применявшего электрические 
импульсы, чтобы вызвать и стимулировать улыбку. Пожалуйста, не пытайтесь повторить 
это дома. Похоже, м немецкому исследования исследователи применяли функциональную МРТ 
для измерения мозговой активности до и после укола ботокса, подавлявшего 
ответственной залыбку мышцы. Результаты подтвердили теорию дарвина, показав, что лицева 
обратная связь изменяет нейронную обработку эмоционального содержания в мозгу. Таким 
образом, что мы чувствуем себя лучше, когда улыбаемся, улыбко стимулируют 
центру положительного подкрепления в мозгу. Таким образом, что даже шоколад, 
популярное средство для получения удовольствия, не может с ней сравниться. 
Бреданские учёные обнаружили, что одна улыбка вызывает стимуляцию того же 
порядка, что и 2000 плитак шоколада. Но это ещё не 
всё. В том же исследования показано, что улыбка стимулируют также, 
как получение до 16 тысяч фунтов наличными. Это улыбка на 
25 тысяч баксов, неплохая. Смотрите, что получается. 25 тысячу может 
на 400, некоторые дети чувствуют себя каждый день, так же 
как Марк Цукерберг. И в отличие от больших долг шоколада, 
большое количество улыбок может улучшить ваше здоровье. Улыбка помогает снизить 
уровень гормона, вызывающих стресс, таких как картизола, дренолин и допомин, 
увеличива уровень гормонов, повышающих настроения как Эндорфин, а также помогает 
снизить давление. Но даже это ещё не всё. Улыбка помогает 
на увыглядитель лучше в глазах окружающих. Медавнее исследование в университете 
пен показало, что улыбаясь. Мы не только кажемся более симпатичными 
и обходительными, но и более компетентными. Так что всякий раз, 
когда выходите выгляделись лучше и уверение в себе, снизить уровень 
стресса или улучшить свой брак или чувствовать себя так, как 
будто только что с ялюкущу отличного шоколада, без соответствующего количества 
калорий или, как если бы вы нашли 25 тысяч в 
кармане старого пинжика, который не надевали годами, или всякий раз, 
когда выходите задействовать суперспособность, которая помогала бы вам и всем 
окружающим жить дольше, здоровее, счастливее. Улыбайтесь. Аудио версия выступления подготовлена 
с обществом в контакте Tedros. 
