спикер Та Токс, Рон Гутман, тайная сила улыбки. В детстве 
мне всегда хотелось быть супергероем, я хотел спасти мир и 
сделать всех счастливыми, но я знал, что мне потребуются невероятные 
способности для достижения этой мечты, поэтому я совершал воображаемые путешествия 
в поисках межгалактических предметов с планеты Криптон. Это было очень 
весело, но не приносило результатов. Когда я вырос и осознал, 
что научная фантастика не лучше источник сверхъестественных способностей, я решил 
отправиться в путешествие в настоящую науку, чтобы отыскать более полезную 
истину. Я начал путешествие в Калифорнии с 30-летнего панельного исследования 
университета Беркли, в котором изучались фотографии студентов в старом выпускном 
альбоме и производилась оценка их успешности и благополучия на протяжении 
жизни. Измеря улыбки этих студентов, исследователи смогли предсказать, насколько прочным 
и долгим окажутся их брак, сколько баллов они наберут в 
стандартных тестах благополучия и как его будет их влияние на 
окружающих. В другом выпускном альбоме я наткнулся на фотографию Барри 
Обамы, когда я впервые увидел его фотографию, я подумал, что 
источник его невероятных способностей, его невероятный воротник, но теперь я 
знаю, что все дело в его улыбке. Еще одно озарение 
имело место в исследовательском проекте университета ВН-2010 года, в нем 
исследовались бейсбольные карточки, выпущенные до 50-х годов с фотографиями игроков 
основной лиги. Исследователи обнаружили, что ширина улыбки игрокам могла на 
самом деле предсказать продолжительность его жизни. Игроки, не улыбавшиеся на 
фотографиях, прожили в среднем 72 и 90-х года, тогда как 
широко улыбавшиеся игроки жили в среднем почти 80 лет. В 
машинах в том, что на самом деле мы рождаемся с 
улыбкой, применяя технологию трехмерного УЗИ, мы можем увидеть, что развивающийся 
плот улыбается даже в утробе. Появляй с насвет, молоденцы продолжают 
улыбаться, по началу в основном во сне, и даже незряющие 
молоденцы улыбаются звуком человеческого голоса. Улыбка одной из основных биологических 
всеобщих выражений всего человечества. В исследованиях проведенных в Папова Новой 
Гвинеи, Пол Манн, самый авторитетный в мире исследователь Мимики, обнаружил, 
что даже члены племени Фор, полностью изолированные от западной культуры 
и известны своими необычными каннибальскими ритуалами, относили улыбки к описанию 
ситуации, так же как это сделали бы мы с вами. 
Так что в Папова Новой Гвинеи, до Голливуда и современного 
искусства в Пекине, мы часто улыбаемся, и улыбаемся мы для 
выражения радости и удовлетворениям. Сколько присутствующих в этом зале улыбаются 
чаще 20 раз в день? Поднимите руки. Ого! За пределами 
этого зала больше трети людей улыбаются чаще 20 раз в 
день, тогда как менее 14% улыбаются меньше 5 раз. На 
самом деле, самыми поразительными суперспособностями обладают дети. Улыбающиеся до 400 
раз в день. Вы не задумывались, почему общаясь с детьми, 
которые так часто улыбаются? Вы и сами улыбаетесь чаще. Недавнее 
исследование в университете УПСАЛЫ в Швеции показало, что очень трудно 
хмуриться, глядя на улыбающегося человека. Вы спросите, почему? Потому что 
улыбки эволюционно заразительны и они ослабляют обычный контроль над мимическими 
мышцами. Подражение улыбки и ее физическое ощущение помогают нам различать 
подлинные и фальшивые улыбки и понимать эмоциональное состояние улыбающегося человека. 
В недавнем исследовании Мимики в университете Клермон Фюеран во Франции 
испытуемых просили различить подлинные и фальшивые улыбки, удерживая ворту карандаш 
для подавления мышц, вызывающих улыбку. Без карандаша испытуемые превосходно различали 
улыбки, карандашом ворту, когда они не могли подражать увиденные улыбки, 
их суждения были ложными. Помимо рассуждений об эволюции в происхождении 
видов, Чаррис Дарвин также создал теорию обратной лесовой связи. Его 
теория утверждает, что сам по себе акту-лыбки действительно улучшает наши 
самочувствия, а не только является результатом хорошего настроения в своем 
исследовании. Дарвин цитировал французского невролога Геймона Дюшена, применявшего электрические импульсы, 
чтобы вызвать и стимулировать улыбку. Пожалуйста, не пытайтесь повторить это 
дома. В похожем немецком исследовании исследователи применяли функциональную MRT для 
измерения мозговой активности, до и после укола Ботокса, подавлявшего ответственную 
за улыбку мышцы. Результаты подтвердили теорию Дарвина, показав, что лицевая 
обратная связь изменяет нейронную обработку эмоционального содержания в мозгу, таким 
образом, что мы чувствуем себя лучше, когда улыбаемся. Улыбка стимулирует 
центр положительного подкрепения в мозгу, таким образом, что даже шоколад, 
популярное средство для получения удовольствия, не может с ней сравниться. 
Британские ученые обнаружили, что одна улыбка вызывает стимуляцию того же 
порядка, что и две тысячи плиток шоколада. Но это еще 
не все, в том же исследовании показано, что улыбка стимулирует 
также, как получение до 16 тысяч фунтов наличными. Эта улыбка 
на 25 тысяч баксов, неплохо. Смотрите, что получается. 25 тысяч 
умножить на 400. Некоторые дети чувствуют себя каждый день, так 
же, как Марк Цукерберг. И в отличие от больших доз 
шоколада, большое количество улыбок может улучшить ваше здоровье. Улыбка помогает 
снизить уровень гормонов, вызывающих стресс, таких как картизол, адреналин и 
допамин, увеличивая уровень гормонов, повышающих настроения, как эндорфин, а также 
помогает снизить давление. Но даже это еще не все. Улыбка 
помогает нам выглядеть лучше в глазах окружающих. Видавнее исследование в 
университете Пен показало, что улыбаясь, мы не только кажемся более 
симпатичными и обходительными, но и более компетентными. Так что всякий 
раз, когда выходите, выглядите лучше и увереннее в себе, снизить 
уровень стресса, или улучшить свой брак, или чувствовать себя так, 
как будто только что съели кучу отличного шоколада без соответствующего 
количества калорий, или как если бы вы нашли 25 тысяч 
в кармане старого пиджака, который не надевали годами, или всякий 
раз, когда выходите за действовать суперспособность, которая помогла бы вам 
и всем окружающим жить дольше, хорошее, счастливее. Улыбайтесь! 
